name,description,original_price,price,category_name,subcategory_name,specifications
Arduino Uno (Deep),"The Arduino Uno (Deep) is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino Uno (Deep) (Original / compatible Arduino Uno board with USB cable) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",910,700,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Arduino Uno (SMD),"The Arduino Uno (SMD) is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino Uno (SMD) (SMD-version Arduino Uno (compact surface-mount)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",650,500,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Arduino Nano,"The Arduino Nano is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino Nano (Compact Arduino-compatible board (micro USB)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",520,400,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Arduino Cable (Nano),"The Arduino Cable (Nano) is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino Cable (Nano) (Micro-USB cable for Arduino Nano) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Arduino Cable (Uno),"The Arduino Cable (Uno) is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino Cable (Uno) (USB-B cable for Arduino Uno) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
ESP32 Dev Board,"The ESP32 Dev Board is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This ESP32 Dev Board (Wi-Fi & Bluetooth development board (ESP32)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",585,450,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Connectivity"": ""Wi-Fi + Bluetooth"", ""Operating Voltage"": ""3.3V"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
ESP8266 (NodeMCU),"The ESP8266 (NodeMCU) is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This ESP8266 (NodeMCU) (NodeMCU ESP8266 Wi-Fi development board) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",455,350,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Connectivity"": ""Wi-Fi + Bluetooth"", ""Operating Voltage"": ""3.3V"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
ESP01,"The ESP01 is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This ESP01 (ESP8266 minimal Wi-Fi serial module (ESP-01)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
ESP32-CAM,"The ESP32-CAM is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This ESP32-CAM (ESP32 dev board with OV2640 camera module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",1157,890,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Connectivity"": ""Wi-Fi + Bluetooth"", ""Operating Voltage"": ""3.3V"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Arduino Nano Extension Shield Board,"The Arduino Nano Extension Shield Board is a high-performance part specifically designed for Microcontrollers systems and advanced robotics projects. This Arduino Nano Extension Shield Board (Extension shield for Nano — useful for servos & sensors) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",455,350,Microcontrollers,Development Boards,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Microcontroller"": ""ATmega Series"", ""Operating Voltage"": ""5V"", ""Interface"": ""USB"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
